symbol,unicode,0,1,2,3,4
ILY,xx,1.6816,2.8608,2.4108,1.4325999999999999,0.711
ILY,xx,1.6736,2.846,2.398,1.3934,0.7193999999999999
ILY,xx,1.7376,2.9806,2.426,1.4223999999999999,0.7366
ILY,xx,1.6858,2.9206,2.4512,1.3958,0.7163999999999999
ILY,xx,1.67,2.9958,2.4586,1.4506,0.7038
ILY,xx,1.6836,2.8494,2.4698,1.3794,0.704
ILY,xx,1.7084,2.7256,2.4012000000000002,1.412,0.713
ILY,xx,1.7187999999999999,2.914,2.3884,1.4424,0.7218
ILY,xx,1.7412,2.9086,2.4526,1.47,0.731
Rock,xxx,1.7674,4.1146,2.6974,1.4598,1.7702
Rock,xxx,1.803,4.2894,2.8266,1.4634,1.8784
Rock,xxx,1.8092000000000001,4.1988,2.7963999999999998,1.469,1.586
Rock,xxx,1.7952000000000001,4.2622,2.7252,1.4147999999999998,2.0058
Rock,xxx,1.8068,4.3076,2.7310000000000003,1.4249999999999998,1.9658
Rock,xxx,1.8034000000000001,4.174,2.6462,1.3376000000000001,1.8878
Rock,xxx,1.9689999999999999,4.3136,2.8754,1.377,2.0103999999999997
Rock,xxx,1.9826,4.3676,2.8664,1.4132,1.9876
Rock,xxx,1.9442,4.293,2.7486,1.4447999999999999,1.5956000000000001
Rock,xxx,1.9764,4.3906,2.777,1.4606,1.5118
7,0x37,1.9378,4.0494,2.17,1.4007999999999998,1.9345999999999999
7,0x37,1.97,4.2356,2.2186000000000003,1.406,1.8122
7,0x37,1.946,4.2094000000000005,2.2154000000000003,1.3704,1.6532
7,0x37,1.9652,4.2436,2.2164,1.3898,1.444
7,0x37,1.9632,3.9876,2.2456,1.4058,1.7786
7,0x37,1.958,4.0296,2.2188000000000003,1.4172,1.7866
7,0x37,1.9849999999999999,4.0914,2.2494,1.4183999999999999,1.8128
7,0x37,1.9604,4.1634,2.2168,1.4272,1.7552
7,0x37,1.9558,4.1096,2.2178,1.3674,1.6152
7,0x37,1.9786,4.2072,2.2302,1.398,1.516
8,0x38,1.9169999999999998,1.3936,2.7672,1.2734,1.7502
8,0x38,1.9136,1.3296000000000001,2.9422,1.3188,1.363
8,0x38,1.8664,1.2828,2.807,1.3130000000000002,1.5514000000000001
8,0x38,1.8832,1.2876,2.7054,1.2762,1.7184
8,0x38,1.926,1.275,2.8638,1.3344,1.1326
8,0x38,1.8934,1.2538,2.5984,1.322,1.184
8,0x38,1.9427999999999999,1.2942,2.658,1.2962,1.2386
8,0x38,1.9143999999999999,1.2968,2.5936,1.2654,1.1789999999999998
8,0x38,1.8828,1.2808,2.7558,1.3022,1.2616
8,0x38,1.8732,1.2998,2.8916,1.2844,1.2436
